Title,Price,Availability,UPC,Product Type,URL
A Light in the Attic,Â£51.77,In stock (22 available),a897fe39b1053632,Books,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â£53.74,In stock (20 available),90fa61229261140a,Books,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,Â£50.10,In stock (20 available),6957f44c3847a760,Books,http://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,Â£47.82,In stock (20 available),e00eb4fd7b871a48,Books,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â£54.23,In stock (20 available),4165285e1663650f,Books,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â£22.65,In stock (19 available),f77dbf2323deb740,Books,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock (19 available),2597b5a345f45e1b,Books,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock (19 available),e72a5dfc7e9267b2,Books,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock (19 available),e10e1e165dc8be4a,Books,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â£52.15,In stock (19 available),1dfe412b8ac00530,Books,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock (19 available),0312262ecafa5a40,Books,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â£20.66,In stock (19 available),30a7f60cd76ca58c,Books,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Â£17.46,In stock (19 available),ce6396b0f23f6ecc,Books,http://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock (19 available),3b1c02bac2a429e6,Books,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â£35.02,In stock (19 available),a34ba96d4081e6a4,Books,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock (19 available),deda3e61b9514b83,Books,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â£23.88,In stock (19 available),feb7cc7701ecf901,Books,http://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock (19 available),e30f54cea9b38190,Books,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â£51.33,In stock (19 available),a18a4f574854aced,Books,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â£45.17,In stock (19 available),a22124811bfa8350,Books,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,Â£12.84,In stock (19 available),23356462d1320d61,Books,http://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,Â£37.32,In stock (19 available),327f68a59745c102,Books,http://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock (19 available),5674a18a29a43ced,Books,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Â£25.27,In stock (19 available),c2e46a2ee3b4a322,Books,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,Â£34.53,In stock (19 available),00bfed9e18bb36f3,Books,http://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,Â£54.64,In stock (19 available),9528d0948525bf5f,Books,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock (19 available),c7d160c2c0de586f,Books,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Â£53.13,In stock (19 available),904208d6aa64b655,Books,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock (18 available),4c28def39d850cdf,Books,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Â£44.18,In stock (18 available),ccd9ffa25efabdea,Books,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock (18 available),6258a1f6a6dcfe50,Books,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock (18 available),3c039985229453bf,Books,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Â£23.82,In stock (18 available),5dada2b7be26bd03,Books,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,Â£36.89,In stock (18 available),9f6568e9c95f60b0,Books,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,Â£15.94,In stock (18 available),6be3beb0793a53e7,Books,http://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,Â£33.29,In stock (18 available),668fe56b17cfcd4f,Books,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock (18 available),094b269567e1c300,Books,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
